,rain_sum,temperature_2m_mean,city,,,,,,,,
25040,0.9,25.3,Ratnapura,,,,,,,,
25041,10.3,25.2,Ratnapura,,,,,,,,
25042,1.5,25.7,Ratnapura,,,,,,,,
25043,4.3,25.5,Ratnapura,,,,,,,,
25044,2.8,25.8,Ratnapura,,,,,,,,
25045,36.4,25.3,Ratnapura,,,,,,,,
25046,29.7,24.8,Ratnapura,,,,,,,,
25047,34.5,25.1,Ratnapura,,,,,,,,
25048,6.6,25.1,Ratnapura,,,,,,,,
25049,6.1,25.4,Ratnapura,,,,,,,,
25050,26.6,25.2,Ratnapura,,,,,,,,
25051,5.9,25.2,Ratnapura,,,,,,,,
25052,14,24.9,Ratnapura,,,,,,,,
25053,13.1,25,Ratnapura,,,,,,,,
25054,10.6,25.1,Ratnapura,,,,,,,,
25055,6.7,25.7,Ratnapura,,,,,,,,
25056,16.2,24.9,Ratnapura,,,,,,,,
25057,27.2,24.4,Ratnapura,,,,,,,,
25058,18.7,24.6,Ratnapura,,,,,,,,
25059,9,24.2,Ratnapura,,,,,,,,
25060,11.1,24.8,Ratnapura,,,,,,,,
25061,12.5,25.3,Ratnapura,,,,,,,,
25062,12.2,24.6,Ratnapura,,,,,,,,
25063,4.5,25.6,Ratnapura,,,,,,,,
25064,8.9,25.4,Ratnapura,,,,,,,,
25065,5.7,25,Ratnapura,,,,,,,,
25066,11.4,24.9,Ratnapura,,,,,,,,
25067,3.3,25.2,Ratnapura,,,,,,,,
25068,3.8,25.8,Ratnapura,,,,,,,,
25069,10.4,25.7,Ratnapura,,,,,,,,
25070,4.6,25.9,Ratnapura,,,,,,,,
25071,6.3,25.5,Ratnapura,,,,,,,,
25072,5.9,25.7,Ratnapura,,,,,,,,
25073,3.9,25.2,Ratnapura,,,,,,,,
25074,3,25.2,Ratnapura,,,,,,,,
25075,4.2,25.5,Ratnapura,,,,,,,,
25076,17.1,25.3,Ratnapura,,,,,,,,
25077,0.9,25.4,Ratnapura,,,,,,,,
25078,2.1,25.5,Ratnapura,,,,,,,,
25079,2.1,25.8,Ratnapura,,,,,,,,
25080,3.9,26.5,Ratnapura,,,,,,,,
25081,1.4,25.7,Ratnapura,,,,,,,,
25082,1.4,25.6,Ratnapura,,,,,,,,
25083,3.3,25.9,Ratnapura,,,,,,,,
25084,3.9,25.9,Ratnapura,,,,,,,,
25085,4.3,25.8,Ratnapura,,,,,,,,
25086,6.8,25.2,Ratnapura,,,,,,,,
25087,8.2,25.8,Ratnapura,,,,,,,,
25088,10.1,25.6,Ratnapura,,,,,,,,
25089,9.5,25.3,Ratnapura,,,,,,,,
25090,16.8,25,Ratnapura,,,,,,,,
25091,6,25,Ratnapura,,,,,,,,
25092,14.1,24.9,Ratnapura,,,,,,,,
25093,5.9,25.2,Ratnapura,,,,,,,,
25094,8.2,25.1,Ratnapura,,,,,,,,
25095,16,24.8,Ratnapura,,,,,,,,
25096,8.3,24.7,Ratnapura,,,,,,,,
25097,3.7,25.3,Ratnapura,,,,,,,,
25098,6.3,25.4,Ratnapura,,,,,,,,
25099,8.8,25.2,Ratnapura,,,,,,,,
25100,5,25.6,Ratnapura,,,,,,,,
25101,9.2,25.1,Ratnapura,,,,,,,,
25102,9.6,25.4,Ratnapura,,,,,,,,
25103,5.1,25.3,Ratnapura,,,,,,,,
25104,7.8,25.2,Ratnapura,,,,,,,,
25105,4.4,25.1,Ratnapura,,,,,,,,
25106,2.3,25.4,Ratnapura,,,,,,,,
25107,5.6,25.4,Ratnapura,,,,,,,,
25108,7.2,24.9,Ratnapura,,,,,,,,
25109,18.2,24.4,Ratnapura,,,,,,,,
25110,10,24.8,Ratnapura,,,,,,,,
