,rain_sum,temperature_2m_mean,city,,,,,,,,,,
54436,8.7,25.9,Galle,,,,,,,,,,
54437,0.9,26.1,Galle,,,,,,,,,,
54438,9.6,26.1,Galle,,,,,,,,,,
54439,16.1,25.3,Galle,,,,,,,,,,
54440,4,25.8,Galle,,,,,,,,,,
54441,19.4,25.9,Galle,,,,,,,,,,
54442,10.8,25.9,Galle,,,,,,,,,,
54443,15.9,26.3,Galle,,,,,,,,,,
54444,10.1,25.8,Galle,,,,,,,,,,
54445,2.8,25.9,Galle,,,,,,,,,,
54446,1.2,26.2,Galle,,,,,,,,,,
54447,18,25.7,Galle,,,,,,,,,,
54448,13.1,25.8,Galle,,,,,,,,,,
54449,15.9,24.3,Galle,,,,,,,,,,
54450,2.3,25.3,Galle,,,,,,,,,,
54451,0.7,24.7,Galle,,,,,,,,,,
54452,0.2,23.5,Galle,,,,,,,,,,
54453,0.2,23.4,Galle,,,,,,,,,,
54454,0,25.5,Galle,,,,,,,,,,
54455,3.5,25.7,Galle,,,,,,,,,,
54456,0.4,26.2,Galle,,,,,,,,,,
54457,1,26.5,Galle,,,,,,,,,,
54458,0.7,26.3,Galle,,,,,,,,,,
54459,0,26.1,Galle,,,,,,,,,,
54460,0,25.9,Galle,,,,,,,,,,
54461,0,26.1,Galle,,,,,,,,,,
54462,0.6,25.8,Galle,,,,,,,,,,
54463,0,26.2,Galle,,,,,,,,,,
54464,0,26.7,Galle,,,,,,,,,,
54465,0.2,26.6,Galle,,,,,,,,,,
54466,1.2,26.3,Galle,,,,,,,,,,
54467,6.9,26,Galle,,,,,,,,,,
54468,14.2,26,Galle,,,,,,,,,,
54469,6.4,26,Galle,,,,,,,,,,
54470,3.2,26.5,Galle,,,,,,,,,,
54471,42,25.5,Galle,,,,,,,,,,
54472,36.4,24.8,Galle,,,,,,,,,,
54473,1.3,25.3,Galle,,,,,,,,,,
54474,0.2,25.7,Galle,,,,,,,,,,
54475,1.3,25.5,Galle,,,,,,,,,,
54476,2,26.6,Galle,,,,,,,,,,
54477,35.8,26,Galle,,,,,,,,,,
54478,26.1,25.6,Galle,,,,,,,,,,
54479,13.3,25.9,Galle,,,,,,,,,,
54480,14.6,26.1,Galle,,,,,,,,,,
54481,17.6,25.7,Galle,,,,,,,,,,
54482,9.2,26.4,Galle,,,,,,,,,,
54483,0.6,26.9,Galle,,,,,,,,,,
54484,1.4,26.5,Galle,,,,,,,,,,
54485,1.9,26.9,Galle,,,,,,,,,,
54486,1,26.6,Galle,,,,,,,,,,
54487,0.4,27,Galle,,,,,,,,,,
54488,2.6,27,Galle,,,,,,,,,,
54489,1.9,26.8,Galle,,,,,,,,,,
54490,3.1,26.6,Galle,,,,,,,,,,
54491,3.4,27.1,Galle,,,,,,,,,,
54492,5.8,26.3,Galle,,,,,,,,,,
54493,0.6,26.7,Galle,,,,,,,,,,
54494,0,27.1,Galle,,,,,,,,,,
54495,1.6,26.8,Galle,,,,,,,,,,
54496,7.2,26,Galle,,,,,,,,,,
54497,4.9,26,Galle,,,,,,,,,,
54498,2,26.2,Galle,,,,,,,,,,
54499,9,26.4,Galle,,,,,,,,,,
54500,15.1,26.4,Galle,,,,,,,,,,
54501,3.9,26.6,Galle,,,,,,,,,,
54502,4.3,26.1,Galle,,,,,,,,,,
54503,9.3,26.4,Galle,,,,,,,,,,
54504,6.2,26.5,Galle,,,,,,,,,,
54505,0.2,27.6,Galle,,,,,,,,,,
54506,5.2,27.3,Galle,,,,,,,,,,
54507,1.1,26.8,Galle,,,,,,,,,,
54508,0.1,27.4,Galle,,,,,,,,,,
54509,0.4,27.2,Galle,,,,,,,,,,
54510,2.4,26.8,Galle,,,,,,,,,,
54511,0.3,27.3,Galle,,,,,,,,,,
54512,8.9,27,Galle,,,,,,,,,,
54513,1.6,27.1,Galle,,,,,,,,,,
54514,2.5,27.4,Galle,,,,,,,,,,
54515,8,27,Galle,,,,,,,,,,
54516,4.7,27.1,Galle,,,,,,,,,,
54517,0,27.3,Galle,,,,,,,,,,
54518,0.2,27.6,Galle,,,,,,,,,,
54519,12.3,26.7,Galle,,,,,,,,,,
